"Soc Code","Occupation Title","Annual Inexperienced","Annual Median","25th Percentile","75th Percentile","Inexperienced","Median","Projected Average Annual Openings","Star Ratings","Education","License Information","Current Statewide DWS Job Orders","Industries and Employers"
"132011","Accountants and Auditors","$49,290.00","$75,100.00","$28.09","$47.25","$23.70","$36.11","1811","5","Bachelor's degree","Yes","288","View Data"
"272011","Actors","","","$12.86","$87.53","$11.03","$19.85","179","0","Some college, no degree","","14","View Data"
"152011","Actuaries","$62,620.00","$128,860.00","$32.37","$79.64","$30.11","$61.95","14","4","Bachelor's degree","","15","View Data"
"519191","Adhesive Bonding Machine Operators and Tenders","$48,260.00","$54,640.00","$23.82","$30.78","$23.20","$26.27","27","2","High school diploma or equivalent","","","View Data"
"231021","Administrative Law Judges, Adjudicators, and Hearing Officers","$61,420.00","$103,790.00","$34.88","$61.31","$29.53","$49.90","7","4","Doctoral or professional degree","","","View Data"
"113012","Administrative Services Managers","$69,650.00","$105,800.00","$39.08","$67.07","$33.49","$50.86","247","5","","","17","View Data"
"253011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","$44,710.00","$49,060.00","$23.06","$25.41","$21.49","$23.59","64","3","Bachelor's degree","","2","View Data"
"413011","Advertising Sales Agents","$41,670.00","$70,790.00","$22.53","$47.37","$20.03","$34.04","64","3","High school diploma or equivalent","","4","View Data"
"112011","Advertising and Promotions Managers","$65,300.00","$108,370.00","$38.58","$65.15","$31.39","$52.10","33","3","Bachelor's degree","","8","View Data"
"173021","Aerospace Engineering and Operations Technologists and Technicians","$61,660.00","$78,610.00","$31.07","$39.52","$29.64","$37.79","30","3","Associate's degree","","2","View Data"
"172011","Aerospace Engineers","$89,980.00","$130,670.00","$50.47","$75.78","$43.26","$62.82","113","5","Bachelor's degree","","92","View Data"
"131011","Agents and Business Managers of Artists, Performers, and Athletes","$38,130.00","$60,470.00","$23.54","$33.22","$18.33","$29.07","22","3","Bachelor's degree","Yes","","View Data"
"452091","Agricultural Equipment Operators","$28,430.00","$42,060.00","$13.80","$21.72","$13.67","$20.22","47","1","Less than high school","","21","View Data"
"452011","Agricultural Inspectors","$38,540.00","$51,330.00","$18.75","$28.95","$18.53","$24.68","29","1","Bachelor's degree","","","View Data"
"251041","Agricultural Sciences Teachers, Postsecondary","$50,500.00","$62,170.00","","","","","","","Doctoral or professional degree","","9","View Data"
"194012","Agricultural Technicians","$36,260.00","$47,840.00","$18.38","$23.30","$17.43","$23.00","9","1","","","3","View Data"
"532021","Air Traffic Controllers","$105,660.00","$156,120.00","$66.11","$80.79","$50.80","$75.06","34","3","Associate's degree","","4","View Data"
