2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx
"Total, all occupations",00-0000,Summary,169956100,175167900,100.0,100.0,5211800,3.1,5.8,18863300,49500,,,,
  Management occupations,11-0000,Summary,13607600,14441000,8.0,8.2,833400,6.1,14.1,1147900,122090,,,,
    Top executives,11-1000,Summary,4049900,4228100,2.4,2.4,178200,4.4,2.8,333100,104990,,,,
      Chief executives,11-1011,Line item,309400,322700,0.2,0.2,13300,4.3,25.9,22200,206420,Bachelor's degree,5 years or more,,OOH Content
      General and operations managers,11-1021,Line item,3712900,3876800,2.2,2.2,164000,4.4,0.9,308700,102950,Bachelor's degree,5 years or more,,OOH Content
      Legislators,11-1031,Line item,27700,28600,0.0,0.0,900,3.4,,2200,44810,Bachelor's degree,Less than 5 years,,
"    Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,1182400,1243500,0.7,0.7,61200,5.2,2.2,95600,144530,,,,
      Advertising and promotions managers,11-2011,Line item,27000,26400,0.0,0.0,-600,-2.2,20.7,2100,126960,Bachelor's degree,Less than 5 years,,OOH Content
      Marketing and sales managers,11-2020,Summary,1026500,1082200,0.6,0.6,55700,5.4,2.0,83300,148870,,,,
        Marketing managers,11-2021,Line item,407000,433700,0.2,0.2,26700,6.6,3.6,34300,161030,Bachelor's degree,5 years or more,,OOH Content
        Sales managers,11-2022,Line item,619500,648500,0.4,0.4,29000,4.7,0.9,49000,138060,Bachelor's degree,Less than 5 years,,OOH Content
      Public relations and fundraising managers,11-2030,Summary,128900,134900,0.1,0.1,6100,4.7,0.3,10200,132870,,,,
        Public relations managers,11-2032,Line item,83200,87300,0.0,0.0,4100,5.0,0.3,6600,138520,Bachelor's degree,5 years or more,,OOH Content
        Fundraising managers,11-2033,Line item,45700,47600,0.0,0.0,1900,4.2,0.2,3600,123480,Bachelor's degree,5 years or more,,OOH Content
    Operations specialties managers,11-3000,Summary,2789500,3072300,1.6,1.8,282700,10.1,1.4,231700,140330,,,,
      Administrative services and facilities managers,11-3010,Summary,422600,440900,0.2,0.3,18300,4.3,0.0,36400,106880,,,,
        Administrative services managers,11-3012,Line item,271200,283800,0.2,0.2,12600,4.6,0.0,23200,108390,Bachelor's degree,Less than 5 years,,OOH Content
        Facilities managers,11-3013,Line item,151400,157100,0.1,0.1,5700,3.8,,13200,104690,Bachelor's degree,Less than 5 years,,OOH Content
      Computer and information systems managers,11-3021,Line item,667100,768700,0.4,0.4,101600,15.2,0.9,55600,171200,Bachelor's degree,5 years or more,,OOH Content
      Financial managers,11-3031,Line item,868600,997400,0.5,0.6,128800,14.8,2.4,74600,161700,Bachelor's degree,5 years or more,,OOH Content
      Industrial production managers,11-3051,Line item,241900,246500,0.1,0.1,4600,1.9,2.6,17100,121440,Bachelor's degree,5 years or more,,OOH Content
      Purchasing managers,11-3061,Line item,83500,86100,0.0,0.0,2600,3.1,0.8,6400,139510,Bachelor's degree,5 years or more,,OOH Content
"      Transportation, storage, and distribution managers",11-3071,Line item,216700,229800,0.1,0.1,13100,6.1,1.7,18500,102010,High school diploma or equivalent,5 years or more,,OOH Content
      Compensation and benefits managers,11-3111,Line item,20900,20900,0.0,0.0,0,0.2,1.4,1500,140360,Bachelor's degree,5 years or more,,OOH Content
      Human resources managers,11-3121,Line item,221900,233000,0.1,0.1,11100,5.0,0.6,17900,140030,Bachelor's degree,5 years or more,,OOH Content
