O*NET-SOC Code,Title,Job Zone,Date,Domain Source
11-1011.00,Chief Executives,5,08/2023,Analyst
11-1011.03,Chief Sustainability Officers,5,08/2021,Analyst
11-1021.00,General and Operations Managers,4,08/2023,Analyst
11-1031.00,Legislators,4,06/2008,Analyst
11-2011.00,Advertising and Promotions Managers,4,08/2018,Analyst
11-2021.00,Marketing Managers,4,07/2015,Analyst
11-2022.00,Sales Managers,4,08/2025,Analyst
11-2032.00,Public Relations Managers,4,11/2021,Analyst - Preliminary
11-2033.00,Fundraising Managers,4,08/2025,Analyst
11-3012.00,Administrative Services Managers,3,07/2017,Analyst
11-3013.00,Facilities Managers,3,08/2024,Analyst
11-3013.01,Security Managers,4,08/2025,Analyst
11-3021.00,Computer and Information Systems Managers,4,07/2016,Analyst
11-3031.00,Financial Managers,4,08/2022,Analyst
11-3031.01,Treasurers and Controllers,4,08/2020,Analyst
11-3031.03,Investment Fund Managers,5,07/2014,Analyst
11-3051.00,Industrial Production Managers,4,08/2021,Analyst
11-3051.01,Quality Control Systems Managers,4,08/2022,Analyst
11-3051.02,Geothermal Production Managers,3,07/2011,Analyst
11-3051.03,Biofuels Production Managers,4,07/2016,Analyst
11-3051.04,Biomass Power Plant Managers,4,08/2020,Analyst
11-3051.06,Hydroelectric Production Managers,3,07/2016,Analyst
11-3061.00,Purchasing Managers,4,08/2023,Analyst
11-3071.00,"Transportation, Storage, and Distribution Managers",4,11/2024,Analyst
11-3071.04,Supply Chain Managers,4,07/2017,Analyst
11-3111.00,Compensation and Benefits Managers,4,08/2023,Analyst
11-3121.00,Human Resources Managers,4,08/2025,Analyst
11-3131.00,Training and Development Managers,4,08/2024,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4,11/2024,Analyst
11-9021.00,Construction Managers,4,08/2025,Analyst
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4,08/2018,Analyst
11-9032.00,"Education Administrators, Kindergarten through Secondary",5,08/2025,Analyst
11-9033.00,"Education Administrators, Postsecondary",5,08/2018,Analyst
11-9041.00,Architectural and Engineering Managers,5,08/2020,Analyst
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4,07/2014,Analyst
11-9051.00,Food Service Managers,2,08/2025,Analyst
11-9071.00,Gambling Managers,2,08/2023,Analyst
