title,avg_total_pct_normalized
Accountants,0.0021055823124784406
Accountants and Auditors,3.572231447559696e-06
Actors,0.007053389874742073
Actuaries,0.0012065493320530835
Acupuncturists,0.00024420362822744654
Acute Care Nurses,0.00026280440516279784
Adapted Physical Education Specialists,0.0003063277574784387
Adhesive Bonding Machine Operators and Tenders,1.1172098198457066e-05
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.0015254432370258684
Administrative Services Managers,3.0805982869429413e-05
Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.00427577790017294
Advanced Practice Psychiatric Nurses,0.001140235901369015
Advertising Sales Agents,0.0004063674610890874
Advertising and Promotions Managers,0.001967122765784786
Aerospace Engineering and Operations Technicians,1.328976962970882e-05
Aerospace Engineers,0.0001864297801664386
"Agents and Business Managers of Artists, Performers, and Athletes",0.0013285340875799042
Agricultural Engineers,0.0001644426976980651
Agricultural Equipment Operators,4.818976177145884e-07
Agricultural Inspectors,0.00011648212194370644
"Agricultural Sciences Teachers, Postsecondary",0.00025740952192518623
Agricultural Technicians,0.0004730843937348692
Agricultural and Food Science Technicians,2.1250554090878938e-05
Air Traffic Controllers,6.152488611413662e-05
Aircraft Cargo Handling Supervisors,9.996010519190188e-08
Aircraft Mechanics and Service Technicians,6.46040507151732e-05
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",5.902589932261598e-05
Airfield Operations Specialists,0.0001441749008891998
"Airline Pilots, Copilots, and Flight Engineers",2.0325102397677878e-05
Allergists and Immunologists,0.0007345016536417487
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",8.1463542311625e-07
Amusement and Recreation Attendants,0.00010375903756059016
Anesthesiologist Assistants,3.6003998118422346e-05
Anesthesiologists,7.627857302858757e-05
Animal Breeders,2.718415751845697e-05
Animal Control Workers,7.64193362220248e-05
Animal Scientists,8.540772636286289e-05
Animal Trainers,1.6135088866310754e-05
Anthropologists,0.002439813028820999
Anthropologists and Archeologists,4.4109051619046705e-05
"Anthropology and Archeology Teachers, Postsecondary",0.0008964667457959345
Appraisers and Assessors of Real Estate,7.81746215416844e-05
"Appraisers, Real Estate",0.00019864403467996557
Aquacultural Managers,7.74827792317173e-05
"Arbitrators, Mediators, and Conciliators",0.001267110391758045
Archeologists,0.0018285989348297974
"Architects, Except Landscape and Naval",0.0005310964648325473
Architectural Drafters,0.0002138226793976896
Architectural and Civil Drafters,1.5002096050012107e-05
Architectural and Engineering Managers,0.0007427550202962034
"Architecture Teachers, Postsecondary",0.00021639412208032135
Archivists,0.006015496714146248
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.0003076792047500307
Art Directors,0.0013374428067644778
Art Therapists,0.0005023238455763862
"Art, Drama, and Music Teachers, Postsecondary",0.0007494845777141478
Assessors,0.00016958597441780148
Astronomers,0.0014393804487088076
Athletes and Sports Competitors,2.823233054600726e-05
Athletic Trainers,0.00019481819391179355
Atmospheric and Space Scientists,0.0007210181013462099
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.0005618558623353593
Audio and Video Equipment Technicians,0.00063036257492067
Audio-Visual and Multimedia Collections Specialists,0.0008361296667830009
Audiologists,4.105184681495381e-05
Auditors,0.0008969746493180632
Automotive Body and Related Repairers,2.7362924346961525e-06
Automotive Engineering Technicians,0.00023922176234949898
Automotive Engineers,0.0006131913443450435
Automotive Glass Installers and Repairers,9.485311177350979e-08
Automotive Master Mechanics,9.411904725404098e-05
Automotive Service Technicians and Mechanics,3.29431219559657e-06
Automotive Specialty Technicians,2.8260346291840022e-05
Automotive and Watercraft Service Attendants,0.00010290457296300055
Aviation Inspectors,1.258752119076354e-06
Avionics Technicians,4.990884224113294e-05
Baggage Porters and Bellhops,0.0001469090598075003
Bailiffs,1.889123193151378e-05
Bakers,0.0002021926080513516
Barbers,9.012661956256083e-05
Baristas,7.121863925752872e-05
Bartenders,0.00014022272379493063
Bicycle Repairers,4.2445879249867364e-06
Bill and Account Collectors,0.00019932182993598956
Billing and Posting Clerks,4.815953651133927e-05
"Billing, Cost, and Rate Clerks",0.00034898844992278496
Biochemical Engineers,0.0008328249855975305
Biochemists and Biophysicists,0.001104964970070426
Biofuels Processing Technicians,2.097322278728889e-05
Biofuels Production Managers,9.492256814630463e-07
Biofuels/Biodiesel Technology and Product Development Managers,3.666668838840535e-05
Bioinformatics Scientists,0.004209765210512153
Bioinformatics Technicians,0.020403413157829692
"Biological Science Teachers, Postsecondary",0.005653599738137788
Biological Technicians,0.0012544150516274038
Biologists,0.0008625555380612852
Biomass Plant Technicians,1.0005067887658453e-05
Biomass Power Plant Managers,7.039702919556744e-05
Biomedical Engineers,0.0002702912483109546
Biostatisticians,0.0016618333308296253
Boilermakers,5.989426401106807e-07
"Bookkeeping, Accounting, and Auditing Clerks",0.0009960705079639894
Brickmasons and Blockmasons,9.135887718753593e-07
Broadcast News Analysts,0.0007627022388138449
Broadcast Technicians,0.00023431545680233825
Brokerage Clerks,8.016312459505634e-05
Brownfield Redevelopment Specialists and Site Managers,5.243991921008441e-06
Budget Analysts,0.00019848573787765037
"Bus Drivers, School or Special Client",0.00023832931011365493
"Bus Drivers, Transit and Intercity",2.96112731325135e-05
Bus and Truck Mechanics and Diesel Engine Specialists,0.00011985897497588672
Business Continuity Planners,0.0008032663115035682
Business Intelligence Analysts,0.002925287099595358
"Business Teachers, Postsecondary",0.00039199894525841924
Butchers and Meat Cutters,1.7154021387343274e-06
"Buyers and Purchasing Agents, Farm Products",4.096554819221271e-05
Cabinetmakers and Bench Carpenters,4.941218316764229e-05
"Camera Operators, Television, Video, and Motion Picture",7.509145555806576e-05
Camera and Photographic Equipment Repairers,0.000122817596188768
"Captains, Mates, and Pilots of Water Vessels",3.611418963229473e-06
Cardiovascular Technologists and Technicians,0.00013621887400886852
"Career/Technical Education Teachers, Middle School",0.0002900577191643632
"Career/Technical Education Teachers, Secondary School",0.001096994376554083
Cargo and Freight Agents,5.0526935770077966e-05
Carpenters,1.1982685512004406e-06
Carpet Installers,1.3117630834580137e-06
Cartographers and Photogrammetrists,0.00013162471976776066
Cashiers,0.0036306402286076455
Cement Masons and Concrete Finishers,0.00013711604381542336
Chefs and Head Cooks,0.0002443391750440265
Chemical Engineers,0.00012578675036894262
Chemical Equipment Operators and Tenders,3.385924472059518e-05
Chemical Plant and System Operators,4.721264192357411e-05
Chemical Technicians,0.0012233315734347708
"Chemistry Teachers, Postsecondary",0.000403826571542965
Chemists,0.0022263726420349585
Chief Executives,0.0022574860746557165
Chief Sustainability Officers,0.00011769851617654367
"Child, Family, and School Social Workers",7.684216754540503e-05
Childcare Workers,0.00036686099427939004
Chiropractors,0.00014703243328244037
Choreographers,0.0005347651529046844
City and Regional Planning Aides,0.0017607932899367208
Civil Drafters,2.8182815361304382e-05
Civil Engineering Technicians,0.0015970673808991987
Civil Engineers,0.00011498712505649789
"Claims Adjusters, Examiners, and Investigators",4.226611813948491e-05
"Claims Examiners, Property and Casualty Insurance",5.5296667508085576e-05
Cleaners of Vehicles and Equipment,1.2908960566909467e-05
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1.806187392818321e-05
Clergy,0.005146061351276097
Climate Change Analysts,0.0002678308038055119
Clinical Data Managers,0.002113179419857277
Clinical Nurse Specialists,0.0006601200283627227
Clinical Psychologists,0.006902719097451351
Clinical Research Coordinators,0.0007576380099053313
"Clinical, Counseling, and School Psychologists",2.9166795609585583e-05
Coaches and Scouts,0.00031528924987083275
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",1.0950240556936152e-05
"Coil Winders, Tapers, and Finishers",7.88782413680379e-07
"Coin, Vending, and Amusement Machine Servicers and Repairers",1.3891594753620485e-05
"Combined Food Preparation and Serving Workers, Including Fast Food",5.934800160982619e-05
Commercial Divers,2.8881077885003636e-05
Commercial Pilots,2.6499909136532016e-05
Commercial and Industrial Designers,0.00027283098476983485
"Communications Teachers, Postsecondary",0.0002894422958914341
Community Health Workers,9.71013126680207e-05
Compensation and Benefits Managers,0.0003416200919547303
"Compensation, Benefits, and Job Analysis Specialists",0.001967194799197647
Compliance Managers,0.00014043060243353454
Compliance Officers,1.543649891505944e-05
Computer Hardware Engineers,0.0038229263806272206
Computer Network Architects,0.001325203311681954
Computer Network Support Specialists,0.002462395376555784
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.006694934062679275
"Computer Occupations, All Other",6.20120460899215e-05
Computer Operators,0.004642736009070139
Computer Programmers,0.04824586010958098
"Computer Science Teachers, Postsecondary",0.0002520348820930356
Computer Systems Analysts,0.01851197741625724
Computer Systems Engineers/Architects,0.007721366345717889
Computer User Support Specialists,0.0018384473882536664
Computer and Information Research Scientists,0.005220924138926646
Computer and Information Systems Managers,0.00106823713238501
"Computer, Automated Teller, and Office Machine Repairers",0.002087711963725258
"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.00041777717806414934
Concierges,0.0004696897231549712
Conservation Scientists,3.307012598897699e-06
Construction Carpenters,0.00012006839510886274
Construction Laborers,3.76585337697423e-05
Construction Managers,0.00037836450552576216
Construction and Building Inspectors,0.00021776612707809318
Continuous Mining Machine Operators,1.1125930667896763e-06
"Control and Valve Installers and Repairers, Except Mechanical Door",2.5145297312856342e-05
Conveyor Operators and Tenders,0.00011352400824953963
"Cooks, Fast Food",0.0004523232626342256
"Cooks, Institution and Cafeteria",4.2694703883615275e-05
"Cooks, Private Household",3.024274109988649e-05
"Cooks, Restaurant",0.0007370288830299156
"Cooks, Short Order",4.98421192237544e-05
Cooling and Freezing Equipment Operators and Tenders,5.534777480873935e-07
Copy Writers,0.012885621741453034
Coroners,3.419896557829075e-05
Correctional Officers and Jailers,0.001333802940716352
Correspondence Clerks,0.0025553300220079998
Cost Estimators,0.00014204923365836611
Costume Attendants,7.371049187953154e-05
Counseling Psychologists,0.0009215543512739681
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",7.380227084340422e-05
Counter and Rental Clerks,0.0012012519289697659
Couriers and Messengers,0.00020516457342642313
Court Clerks,0.00042601608168755405
Court Reporters,0.0004995042747500713
"Court, Municipal, and License Clerks",8.377056280150774e-05
Craft Artists,0.0013058985823290517
Crane and Tower Operators,7.428213647476674e-07
Credit Analysts,8.656641803896961e-05
Credit Authorizers,8.152436548391002e-05
"Credit Authorizers, Checkers, and Clerks",4.4217677221867635e-05
Credit Checkers,0.0002144707168937386
Credit Counselors,0.0033456124441616835
Criminal Investigators and Special Agents,9.515652372763867e-05
"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.0002912075262942748
Critical Care Nurses,0.000475089621437233
Crossing Guards,2.5479160462805076e-05
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",3.0676012299173035e-05
Curators,0.0012565227516955922
Customer Service Representatives,0.0005468856266560088
Customs Brokers,0.00033888382231202625
"Cutters and Trimmers, Hand",6.247092832429989e-07
"Cutting and Slicing Machine Setters, Operators, and Tenders",0.00010459065147511195
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2.7848640345217564e-05
Cytogenetic Technologists,8.525203487714654e-05
Cytotechnologists,0.00023274918226337294
Dancers,2.439292880411897e-05
Data Entry Keyers,0.0001683491058321304
Data Warehousing Specialists,0.024561180525704027
Database Administrators,0.01623182703832367
Database Architects,0.009174887651391017
Demonstrators and Product Promoters,0.0005744688059300609
Dental Assistants,2.8176356926319253e-05
Dental Hygienists,9.511132199606048e-05
Dental Laboratory Technicians,1.652812333343727e-05
"Dentists, General",0.00029913915401801326
Dermatologists,2.5134266699723517e-05
"Derrick Operators, Oil and Gas",3.4720784929631476e-07
Desktop Publishers,0.001364524023212597
Detectives and Criminal Investigators,2.845796721017848e-05
Diagnostic Medical Sonographers,2.3299037091763836e-05
