,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,00-0000,All Occupations,total,137896660,0.1,23.23,48320,0.1,9.07,11.27,17.4,28.32,44.29,18870,23430,36200,58900,92110,,
1,11-0000,Management Occupations,major,6936990,0.2,55.3,115020,0.1,22.29,32.38,47.38,69.21,#,46370,67350,98560,143950,#,,
2,11-1000,Top Executives,minor,2439900,0.2,59.71,124210,0.2,20.47,31.39,48.53,77.4,#,42580,65290,100940,160980,#,,
3,11-1010,Chief Executives,broad,238940,0.7,89.35,185850,0.4,32.98,53.38,84.19,#,#,68600,111040,175110,#,#,,
4,11-1011,Chief Executives,detailed,238940,0.7,89.35,185850,0.4,32.98,53.38,84.19,#,#,68600,111040,175110,#,#,,
5,11-1020,General and Operations Managers,broad,2145140,0.3,57.44,119460,0.2,21.24,31.13,46.99,73.21,#,44190,64750,97730,152270,#,,
6,11-1021,General and Operations Managers,detailed,2145140,0.3,57.44,119460,0.2,21.24,31.13,46.99,73.21,#,44190,64750,97730,152270,#,,
7,11-1030,Legislators,broad,55820,1.3,*,42530,1.2,*,*,*,*,*,16950,18160,20500,64180,91960,True,
8,11-1031,Legislators,detailed,55820,1.3,*,42530,1.2,*,*,*,*,*,16950,18160,20500,64180,91960,True,
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,647360,0.5,63.3,131670,0.3,27.18,38.37,56.16,79.46,#,56530,79810,116810,165280,#,,
10,11-2010,Advertising and Promotions Managers,broad,29340,2.6,54.62,113610,1.7,20.4,30.18,46.1,69.68,#,42440,62780,95890,144930,#,,
11,11-2011,Advertising and Promotions Managers,detailed,29340,2.6,54.62,113610,1.7,20.4,30.18,46.1,69.68,#,42440,62780,95890,144930,#,,
