AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,155495730,0.0,,,,,33.54,69770,0.1,15,18.07,24.51,38.71,61.81,31200,37590,50980,80520,128560,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,11132700,0.2,,,,,69.84,145260,0.2,28.91,39.89,60.83,84.75,123.71,60130,82970,126520,176280,257310,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3720520,0.3,,,,,68.33,142120,0.3,24.27,35.22,52.17,82.85,134.48,50480,73260,108510,172330,279710,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,204350,3.1,,,,,129.63,269630,1.9,36.39,62.28,102.88,171.25,244.1,75700,129540,213990,356200,507730,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,204350,3.1,,,,,129.63,269630,1.9,36.39,62.28,102.88,171.25,244.1,75700,129540,213990,356200,507730,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,3503020,0.3,,,,,64.87,134940,0.3,24.08,34.77,50.85,80.42,121.82,50090,72320,105770,167280,253390,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,3503020,0.3,,,,,64.87,134940,0.3,24.08,34.77,50.85,80.42,121.82,50090,72320,105770,167280,253390,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,1167460,0.6,,,,,80.73,167930,0.3,37.37,50.55,74.89,101.25,139.45,77730,105140,155780,210600,290060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,21470,3.9,,,,,74.18,154280,3.0,30.43,43.93,64.26,96.66,137.62,63300,91370,133660,201050,286240,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,21470,3.9,,,,,74.18,154280,3.0,30.43,43.93,64.26,96.66,137.62,63300,91370,133660,201050,286240,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,1032320,0.7,,,,,81.49,169490,0.3,37.44,50.9,75.98,101.87,140.44,77870,105860,158040,211890,292100,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,395240,0.8,,,,,85.47,177770,0.3,43.39,59.15,80.19,104.04,141.16,90260,123020,166790,216410,293610,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,637080,1.1,,,,,79.02,164350,0.4,35.18,48.25,71.28,99.68,139.68,73170,100360,148270,207340,290540,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,113670,1.2,,,,,75.15,156310,0.8,38.07,49.15,65.61,91.32,126.61,79180,102230,136470,189950,263340,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,74850,1.8,,,,,79.21,164760,0.8,39.62,51.24,70.63,98.33,137.01,82410,106580,146910,204520,284990,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,38810,1.4,,,,,67.32,140020,0.9,36.12,46.14,60.32,81.73,106.9,75130,95970,125470,169990,222350,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2775810,0.3,,,,,79.49,165330,0.3,39.32,51.37,72.45,98.46,135.55,81790,106860,150690,204790,281950,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,broad,420130,0.6,,,,,60.12,125040,0.4,31.7,40.68,53.13,72.22,95,65940,84620,110500,150230,197590,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,263960,1.2,,,,,62.44,129870,0.5,32.26,41.57,54.87,75.69,99.86,67100,86460,114130,157420,207720,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,156180,1.1,,,,,56.2,116890,0.5,31,39.43,51.28,66.76,84.67,64480,82020,106660,138870,176120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3020,Computer and Information Systems Managers,broad,670570,0.5,,,,,92.39,192160,0.3,51.71,66.38,84.2,106.12,143.03,107550,138060,175140,220730,297510,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,670570,0.5,,,,,92.39,192160,0.3,51.71,66.38,84.2,106.12,143.03,107550,138060,175140,220730,297510,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,841710,0.5,,,,,89.86,186910,0.4,45.34,60.33,80.08,105.76,155.42,94310,125490,166570,219980,323270,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,841710,0.5,,,,,89.86,186910,0.4,45.34,60.33,80.08,105.76,155.42,94310,125490,166570,219980,323270,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,246250,0.5,,,,,64.5,134170,0.3,37.5,47.19,60.61,77.83,98.81,78000,98160,126060,161880,205520,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,246250,0.5,,,,,64.5,134170,0.3,37.5,47.19,60.61,77.83,98.81,78000,98160,126060,161880,205520,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,84320,0.8,,,,,75.17,156360,0.4,44.47,55.55,71.19,87.63,107.35,92490,115550,148080,182270,223280,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,84320,0.8,,,,,75.17,156360,0.4,44.47,55.55,71.19,87.63,107.35,92490,115550,148080,182270,223280,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3070,"Transportation, Storage, and Distribution Managers",broad,221180,0.9,,,,,58.46,121600,0.5,31.31,39.64,51.55,70.56,93.7,65120,82440,107230,146770,194900,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,221180,0.9,,,,,58.46,121600,0.5,31.31,39.64,51.55,70.56,93.7,65120,82440,107230,146770,194900,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3110,Compensation and Benefits Managers,broad,22940,2.1,,,,,78.19,162640,0.8,42.86,54.41,71.75,96.45,123.35,89160,113170,149230,200610,256570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,22940,2.1,,,,,78.19,162640,0.8,42.86,54.41,71.75,96.45,123.35,89160,113170,149230,200610,256570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,220660,0.6,,,,,78.96,164230,0.4,42.4,53.42,71.77,95.81,128.76,88200,111110,149280,199290,267810,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,220660,0.6,,,,,78.96,164230,0.4,42.4,53.42,71.77,95.81,128.76,88200,111110,149280,199290,267810,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3130,Training and Development Managers,broad,48050,1.4,,,,,71.33,148370,1.1,38.24,48.97,63.94,85.04,112.31,79550,101850,133000,176870,233600,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,48050,1.4,,,,,71.33,148370,1.1,38.24,48.97,63.94,85.04,112.31,79550,101850,133000,176870,233600,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9000,Other Management Occupations,minor,3468900,0.3,,,,,60.07,124950,0.3,27.84,37.4,51.33,76.75,101.34,57910,77790,106770,159650,210800,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,6500,4.3,,,,,47.99,99820,2.2,26.12,31.87,43.22,57.14,76.93,54320,66300,89900,118860,160020,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,6500,4.3,,,,,47.99,99820,2.2,26.12,31.87,43.22,57.14,76.93,54320,66300,89900,118860,160020,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9020,Construction Managers,broad,380360,1.1,,,,,59.79,124360,0.5,33.5,42.57,55.28,72.91,91.08,69690,88550,114990,151640,189440,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,380360,1.1,,,,,59.79,124360,0.5,33.5,42.57,55.28,72.91,91.08,69690,88550,114990,151640,189440,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9030,Education and Childcare Administrators,broad,637590,0.4,,,,,53.8,111900,0.3,28.56,37.87,49.16,63.99,82.28,59400,78770,102260,133090,171140,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,73660,1.8,,,,,31.15,64800,0.9,18.55,22.62,28.51,36.3,47.23,38580,47040,59300,75500,98240,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,328330,0.6,,,,,*,116100,0.3,*,*,*,*,*,76280,86040,105870,134630,167770,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,180470,0.4,,,,,60.84,126540,0.3,31.04,38.88,50.29,69.41,103.66,64560,80870,104590,144370,215620,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,55130,2.0,,,,,48.99,101900,0.6,24.96,33.16,45.77,60.86,77.41,51910,68980,95200,126590,161010,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9040,Architectural and Engineering Managers,broad,220260,0.8,,,,,87.28,181540,0.3,58.08,67,82.34,102.16,126.33,120810,139360,171270,212500,262760,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,220260,0.8,,,,,87.28,181540,0.3,58.08,67,82.34,102.16,126.33,120810,139360,171270,212500,262760,,
