task_name,pct
direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,0
appoint department heads or managers and assign or delegate responsibilities to them,0
analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,0
direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,0
prepare budgets for approval including those for funding or implementation of programs,0
confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,0
implement corrective action plans to solve organizational or departmental problems,0
direct human resources activities including the approval of human resource plans or activities the selection of directors or other highlevel staff or establishment or organization of major departments,0
establish departmental responsibilities and coordinate functions among departments and sites,0
preside over or serve on boards of directors management committees or other governing boards,0
negotiate or approve contracts or agreements with suppliers distributors federal or state agencies or other organizational entities,0
coordinate the development or implementation of budgetary control systems recordkeeping systems or other administrative control processes,0
review reports submitted by staff members to recommend approval or to suggest changes,0
deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,0
interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,0
prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,0
review and analyze legislation laws or public policy and recommend changes to promote or support interests of the general population or special groups,0
administer programs for selection of sites construction of buildings or provision of equipment or supplies,0
direct or conduct studies or research on issues affecting areas of responsibility,0
direct or coordinate activities of businesses or departments concerned with production pricing sales or distribution of products,0
make presentations to legislative or other government committees regarding policies programs or budgets,0
refer major policy matters to elected representatives for final decisions,0
direct or coordinate activities of businesses involved with buying or selling investment products or financial services,0
conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings,0
direct nonmerchandising departments such as advertising purchasing credit or accounting,0
prepare bylaws approved by elected officials and ensure that bylaws are enforced,0
serve as liaisons between organizations shareholders and outside organizations,0
attend and participate in meetings of municipal councils or council committees,0
represent organizations or promote their objectives at official functions or delegate representatives to do so,0
organize or approve promotional campaigns,0
nominate citizens to boards or commissions,0
develop or execute strategies to address issues such as energy use resource conservation recycling pollution reduction waste elimination transportation education and building design,0
supervise employees or volunteers working on sustainability projects,0
research environmental sustainability issues concerns or stakeholder interests,0
develop methodologies to assess the viability or success of sustainability initiatives,0
monitor and evaluate effectiveness of sustainability programs,0
