task_name,pct
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",0.0024
act as advisers to student organizations.,0.0098
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.0068
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.0073999999999999
act as liaisons between on-site managers or tenants and owners.,0.0039
adapt instructional content or delivery methods for different levels or types of learners.,0.0351
adapt software and accompanying technical documents to another language and culture.,0.0021
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.0112
adapt text to accommodate musical requirements of composers and singers.,0.0186
adapt the quantity of ingredients to match the amount of items to be baked.,0.0086
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.0078
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0039
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.002
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.1038999999999999
"adjust apertures, shutter speeds, and camera focus based on a combination of factors such as lighting, field depth, subject motion, film type, and film speed.",0.0022
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",0.0031
adjust navigation according to weather conditions.,0.002
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",0.0031999999999999
adjust sales scripts to better target the needs and interests of specific individuals.,0.0141
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.002
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",0.0015
administer construction contracts.,0.0034
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.0088
"administer highway planning, construction, or maintenance.",0.0055
administer online purchasing systems.,0.022
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.0043
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.0107
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.021
"administer, proctor, or score academic or diagnostic assessments.",0.0242
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,0.0031999999999999
advise and teach students.,0.0422
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.039
advise athletes on the proper use of equipment.,0.0025
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0053
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.0268
advise clients about colors and types of makeup and instruct them in makeup application techniques.,0.0068
advise clients about proper clothing and shoes.,0.0023
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.031
advise clients on financial and legal matters such as investments and taxes.,0.1373
advise clients on how they could be helped by counseling.,0.0462
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.1748
advise clients on nail care and use of products and colors.,0.0045
advise clients on transportation and payment methods.,0.0028
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0025
"advise clients or community groups on issues related to risk or prevention of conditions such as lead poisoning, human immunodeficiency virus (hiv), prenatal substance abuse, or domestic violence.",0.0015
"advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",0.0024
advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,0.0017
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",0.0023
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.005
advise corporations on issues involving corporate image projects or problems.,0.0066
advise customer about or perform maintenance of software system.,0.0041
"advise customers concerning equipment operation, maintenance, or programming.",0.0257
advise customers of necessary actions and strategies for debt repayment.,0.0154
advise customers on plant selection or care.,0.0145
advise customers on product usage to improve production.,0.0071
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",0.0043
advise customers on use and care of merchandise.,0.0103
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.0028
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0077
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,0.002
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",0.0044
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0018
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.0869
"advise management on organizing, preparing, or implementing recruiting or retention programs.",0.0046
"advise management on short-term and long-term financial objectives, policies, and actions.",0.0039
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",0.0026
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.002
advise or assist in obtaining patents or meeting other legal requirements.,0.0085
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,0.0029
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.0352
advise participants in use of heat or ultraviolet treatments and hot baths.,0.0044
advise patients about recommended courses of treatment.,0.002
advise patients about therapeutic exercise and nutritional medicine regimens.,0.0019
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.0024
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.0731
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",0.0052
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.0045
advise producers about improved products and techniques that could enhance their animal production efforts.,0.0036
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.0046999999999999
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",0.0049
advise students on academic and vocational curricula and career issues.,0.0177
advise students on academic and vocational curricula and on career issues.,0.2155999999999999
"advise students on academic and vocational curricula, and on career issues.",0.0265
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",0.0068
"advise students on course selection, career decisions, and other academic and vocational concerns.",0.0044
"advise students on internships, prospective employers, and job placement services.",0.0158999999999999
"advise students on issues such as course selection, progress toward graduation, and career decisions.",0.0238
"align, adjust, or calibrate equipment according to specifications.",0.0015999999999999
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",0.0025
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.0051
analyze and classify risks and investments to determine their potential impacts on companies.,0.0146
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,0.0024
analyze and evaluate robotic systems or prototypes.,0.0025
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.0205
analyze and interpret data to increase the understanding of human social behavior.,0.0031999999999999
analyze and interpret news and information received from various sources to broadcast the information.,0.0163
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",0.0031999999999999
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.0419
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",0.0015999999999999
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,0.0063999999999999
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",0.0036
"analyze and record test data to issue reports that use charts, graphs, or narratives.",0.0145
analyze and report computer network security breaches or attempted breaches.,0.0561
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",0.0029
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,0.0024
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",0.0053
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",0.0457
analyze characteristics of animals to identify and classify them.,0.0286
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",0.0087
"analyze competitive market strategies through analysis of related product, market, or share trends.",0.0192
analyze completed police reports to determine what additional information and investigative work is needed.,0.0019
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",0.0039
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",0.0017
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.0197
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.0073
analyze customer bills and utility rate structures to select optimal rate structures for customers.,0.0034999999999999
